Name,Formula,CAS,wt,CPLC1,CPLC2,CPLC3,CPLC4,CPLC5,CPLTmin,CPLTmax,Tc,Pc,Vc,Zc,Acentric factor,Hig_f,Gig_f,Sig,Hstd_c,VPC1,VPC2,VPC3,VPC4,VPC5,VPTmin,VPTmax,LDC1,LDC2,LDC3,LDC4,LDTmin,LDTmax,HVC1,HVC2,HVC3,HVC4,HVTmin,HVTmax,CPGC1,CPGC2,CPGC3,CPGC4,CPGC5,CPGTmin,CPGTmax,VAPVISC1,VAPVISC2,VAPVISC3,VAPVISC4,VAPVISTmin,VAPVISTmax,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,LIQVISC5,LIQVISTmin,LIQVISTmax,GASTCC1,GASTCC2,GASTCC3,GASTCC4,GASTCTmin,GASTCTmax,LICTCC1,LICTCC2,LICTCC3,LICTCC4,LICTCC5,LICTCTmin,LICTCYmax
"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.99,111560,149.44,0,0,0,275,369.52,572,4.24,0.291,0.259,0.2564,-162.8,-80.18,0.3548,-1707,65.955,"-6,015.60",-6.5509,4.32E-06,2,172.71,572,0.89833,0.26142,572,0.2868,172.71,572,46750000,0.36529,0,0,172.71,572,78658,174290,1715.7,126270,765.1,200,1500,1.20E-07,0.79108,84.37,0,172.71,1000,-11.269,1195.3,0.012736,0,0,172.71,369.52,0,1.103,913.43,0,369.52,"1,000",0.19653,-0.00025012,0,0,0,172.71,457.6
Diethanol amine,C4H11NO2,111-42-2,105.14,184200,286,0,0,0,301.15,541.54,736.6,4.27,0.349,0.243,0.9529,-408.47,-225.74,0.429,-2410.5,106.38,"-13,714",-11.06,3.26E-18,6,301.15,736.6,0.68184,0.23796,736.6,0.2062,301.15,736.6,101540000,0.3403,0,0,301.15,736.6,120800,306600,2089,234300,891,298.15,1500.1,3.36E-08,0.9426,39.587,0,301.15,1000,-375.21,"17,177",66.66,-3.6367,0.5,293.15,589.28,"-11,633",0.4621,-3793900000,0,541.54,"1,000",0.0218,0.0010315,-0.000001355,0,0,301.15,673.15
Diethyl amine,C4H11N,109-89-7,73.14,101330,243.18,0,0,0,223.35,328.6,496.6,3.71,0.301,0.27,0.3039,-71.42,73.08,0.3522,-2800.3,49.314,"-4,949",-3.9256,9.20E-18,6,223.35,496.6,0.85379,0.25675,496.6,0.27027,223.35,496.6,46133000,0.42628,0,0,223.35,496.6,91020,267400,1719,179260,794.94,200,1500,4.32E-07,0.6035,247,0,223.35,1000,-17.57,1385.7,0.85647,0,0,223.35,329.1,0.00001706,1.248,-112.8,"77,960",273.15,"1,000",0.2587,-0.00054343,4.21E-07,0,0,223.35,453.15
Diethyl ether,C4H10O,60-29-7,74.12,44400,1301,-5.5,0.008763,0,156.92,460,466.7,3.64,0.28,0.263,0.2811,-252.1,-122.1,0.3423,-2503.5,136.9,"-6,954.30",-19.254,0.024508,1,156.85,466.7,0.9554,0.26847,466.7,0.2814,156.85,466.7,40600000,0.3868,0,0,156.85,466.7,86210,255100,1541.3,143700,688.9,200,1500,0.000001948,0.41,495.8,0,156.85,1000,10.197,-63.8,-3.226,0,0,200,373.15,-0.004,0.6155,-3266.3,0,200,600,0.2495,-0.000407,0,0,0,156.85,433.15
Diethyl sulfide,C4H10S,352-93-2,90.19,238520,-1038.4,4.0587,-0.0044691,0,181.95,322.08,557.15,3.96,0.318,0.272,0.29,-83.56,17.74,0.3681,-2960.7,46.705,"-5,177.40",-3.5985,1.71E-06,2,169.2,557.15,0.82227,0.26314,557.15,0.27369,169.2,557.15,47659000,0.37987,0,0,169.2,557.15,91273,241000,1668.6,165200,771.08,200,1500,6.55E-08,0.86232,59.455,0,169.2,1000,-5.135,667.5,-0.8553,0,0,225,365.25,0.002,0.67406,1179.7,"174,850",365.25,"1,000",0.21065,-0.0002623,0,0,0,169.2,365.25
"1,1-Difluoroethane",C2H4F2,75-37-6,66.05,67.155,105580,310.21,-490.54,0,154.56,359.98,386.44,4.52,0.179,0.252,0.2751,-497,-439.485,0.2824,-773.662,73.491,"-4,385.90",-8.1851,0.000012978,2,154.56,386.44,1.4345,0.25774,386.44,0.28178,154.56,386.44,32312000,0.37653,0,0,154.56,386.44,49653,125460,1539.4,87561,694.17,200,1500,2.72E-06,0.39531,445.07,0,154.56,1000,10.501,-52.181,-3.3459,0,0,154.56,343.15,0,1.0713,101.84,"45,974",248.95,"1,000",0.27019,-0.000661,3.44E-07,0,0,154.56,363.15
"1,2-Difluoroethane",C2H4F2,624-72-6,66.05,82577,109.85,0,0,0,215,283.65,445,4.34,0.195,0.229,0.2224,-447.7,-391.9,0.288194,-823,84.625,"-5,217.40",-9.871,0.00001305,2,215,445,1.173,0.22856,445,0.28571,215,445,34552000,0.3499,0,0,215,445,51889,124310,1504.8,76269,697.51,200,1500,4.39E-07,0.64867,169.64,0,215,1000,-10.072,710.48,-0.14677,0,0,215,283.65,2.42E-06,1.4456,0,0,303.65,993.65,0.23171,-0.00038503,0,0,0,215,372.8
Difluoromethane,CH2F2,75-10-5,52.02,263980,-1791.1,4.3666,0,0,200,250,351.255,5.784,0.123,0.244,0.2771,-452.3,-424.747,0.24658,-183.031,69.132,"-3,847.70",-7.5868,0.000015065,2,136.95,351.255,1.9973,0.24653,351.26,0.28153,136.95,351.26,28081000,0.3364,0,0,136.95,351.26,35489,71002,1593.6,46220,762,200,1500,7.75E-07,0.57978,198.7,0,136.95,1000,-17.723,850.2,1.0601,-1.17E-18,7,137,343.15,0,1.1897,0,0,221.5,"1,000",0.37296,-0.00088707,2.58E-07,0,0,136.95,302.56
Di-isopropyl amine,C6H15N,108-18-9,101.19,98434,429.04,0,0,0,275,357.05,523.1,3.2,0.418,0.308,0.3883,-143.8,64.2,0.412,-3990,462.84,"-18,227",-73.734,0.092794,1,176.85,523.1,0.6181,0.25786,523.1,0.271,176.85,523.1,50070000,0.4362,0,0,176.85,523.1,113840,257470,738.4,162000,2143,300,1500,4.14E-07,0.5999,269.5,0,357.05,1000,-1.7366,599.8,-1.4237,0,0,250,357.05,0.00051305,0.8076,360.19,"154,510",357.05,"1,000",0.1844,-0.000239,0,0,0,176.85,357.05
Di-isopropyl ether,C6H14O,108-20-3,102.18,163000,-4.5,0.62,0,0,187.65,341.45,500.05,2.88,0.386,0.267,0.3387,-319.2,-124.8,0.3989,-3702.61,41.631,"-4,668.70",-2.8551,0.00063693,1,187.65,500.05,0.69213,0.26974,500.05,0.28571,187.65,500.05,46117000,0.4,0,0,187.65,500.05,109300,368300,1605.7,234200,699,298.15,1500,1.69E-07,0.7114,124,0,187.65,1000,-11.5,993,0.022,0,0,187.65,341.45,0.00019879,0.9423,306.8,"106,230",328.05,"1,000",0.19162,-0.0002762,0,0,0,187.65,400.1
